ID,year,month,day,doc,bay,region,latitude,longitude,TL_mm,age,predict.age,final.age,hdate
KDSP-101,2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1093,-156.4602,60,110,NA,110,117
KDSP-104,2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1093,-156.4602,52,100,NA,100,127
KDSP-116,2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1048,-156.4586,72,135,NA,135,92
KDSP-117,2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1048,-156.4586,75,139,NA,139,88
KDSP-118,2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1048,-156.4586,52,117,NA,117,110
KDSP-168,2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1048,-156.4586,65,119,NA,119,108
KDSP-217,2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1071,-156.4564,68,127,NA,127,100
KDSP-219,2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1071,-156.4564,67,144,NA,144,83
KDSP-220,2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1071,-156.4564,64,149,NA,149,78
KDSP-228,2018,Aug,15,227,Agripina Bay,Agripina Bay,57.1071,-156.4564,60,121,NA,121,106
KDSP-446,2018,July,16,197,Agripina Bay,Agripina Bay,57.1071,-156.4565,50,96,NA,96,101
KDSP-448,2018,July,16,197,Agripina Bay,Agripina Bay,57.1047,-156.4584,72,158,NA,158,39
KDSP-450,2018,July,16,197,Agripina Bay,Agripina Bay,57.1047,-156.4584,56,119,NA,119,78
KDSP-451,2018,July,16,197,Agripina Bay,Agripina Bay,57.1047,-156.4584,52,96,NA,96,101
KDSP-453,2018,July,16,197,Agripina Bay,Agripina Bay,57.1047,-156.4584,50,81,NA,81,116
KDSP-459,2018,July,16,197,Agripina Bay,Agripina Bay,57.1094,-156.4599,77,123,NA,123,74
KDSP-460,2018,July,16,197,Agripina Bay,Agripina Bay,57.1094,-156.4599,35,67,NA,67,130
KDSP-462,2018,July,16,197,Agripina Bay,Agripina Bay,57.1094,-156.4599,43,95,NA,95,102
KDSP-465,2018,July,16,197,Agripina Bay,Agripina Bay,57.1094,-156.4599,68,115,NA,115,82
KDSP-344.2,2019,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4716,41,67,NA,67,121
KDSP-360.2,2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,46,75,NA,75,113
KDSP-362.2,2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,43,81,NA,81,107
KDSP-364.2,2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,48,82,NA,82,106
KDSP-369.2,2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,47,77,NA,77,111
KDSP-371.2,2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,55,95,NA,95,93
KDSP-374.2,2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,41,70,NA,70,118
KDSP-379.2,2019,July,7,188,Agripina Bay,Agripina Bay,57.1071,-156.4564,41,67,NA,67,121
KDSP-381.2,2019,July,7,188,Agripina Bay,Agripina Bay,57.1071,-156.4564,40,65,NA,65,123
KDSP-631,2019,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4716,60,103,NA,103,85
KDSP-633,2019,July,7,188,Agripina Bay,Agripina Bay,57.1041,-156.4766,68,111,NA,111,77
KDSP-634,2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,55,87,NA,87,101
KDSP-640,2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,52,89,NA,89,99
KDSP-641,2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,50,82,NA,82,106
KDSP-642,2019,July,7,188,Agripina Bay,Agripina Bay,57.1041,-156.4766,56,93,NA,93,95
KDSP-644,2019,July,7,188,Agripina Bay,Agripina Bay,57.1071,-156.4564,43,83,NA,83,105
KDSP-646,2019,July,7,188,Agripina Bay,Agripina Bay,57.1046,-156.4716,43,73,NA,73,115
KDSP-647,2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,58,100,NA,100,88
KDSP-649,2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,52,91,NA,91,97
KDSP-650,2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,52,89,NA,89,99
KDSP-651,2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,51,81,NA,81,107
KDSP-655,2019,July,7,188,Agripina Bay,Agripina Bay,57.105,-156.4581,53,81,NA,81,107
KDSP-962,2020,July,6,188,Agripina Bay,Agripina Bay,57.1092,-156.4602,61,104,NA,104,84
KDSP-963,2020,July,6,188,Agripina Bay,Agripina Bay,57.1092,-156.4602,57,90,NA,90,98
KDSP-964,2020,July,6,188,Agripina Bay,Agripina Bay,57.1092,-156.4602,62,91,NA,91,97
KDSP-965,2020,July,6,188,Agripina Bay,Agripina Bay,57.1092,-156.4602,52,108,NA,108,80
KDSP-966,2020,July,6,188,Agripina Bay,Agripina Bay,57.1092,-156.4602,53,96,NA,96,92
KDSP-967,2020,July,6,188,Agripina Bay,Agripina Bay,57.1092,-156.4602,55,101,NA,101,87
KDSP-968,2020,July,6,188,Agripina Bay,Agripina Bay,57.1092,-156.4602,55,98,NA,98,90
KDSP-969,2020,July,6,188,Agripina Bay,Agripina Bay,57.1092,-156.4602,54,104,NA,104,84
KDSP-970,2020,July,6,188,Agripina Bay,Agripina Bay,57.1092,-156.4602,55,97,NA,97,91
KDSP-972,2020,July,6,188,Agripina Bay,Agripina Bay,57.1092,-156.4602,61,116,NA,116,72
KDSP-974,2020,July,6,188,Agripina Bay,Agripina Bay,57.1092,-156.4602,38,72,NA,72,116
KDSP-975,2020,July,6,188,Agripina Bay,Agripina Bay,57.1092,-156.4602,57,103,NA,103,85
KDSP-976,2020,July,6,188,Agripina Bay,Agripina Bay,57.1092,-156.4602,57,105,NA,105,83
KDSP-977,2020,July,6,188,Agripina Bay,Agripina Bay,57.1092,-156.4602,46,93,NA,93,95
KDSP-979,2020,July,6,188,Agripina Bay,Agripina Bay,57.1049,-156.4585,54,103,NA,103,85
KDSP-980,2020,July,6,188,Agripina Bay,Agripina Bay,57.1049,-156.4585,58,106,NA,106,82
KDSP-982,2020,July,6,188,Agripina Bay,Agripina Bay,57.1049,-156.4585,47,89,NA,89,99
KDSP-983,2020,July,6,188,Agripina Bay,Agripina Bay,57.1049,-156.4585,58,106,NA,106,82
KDSP-984,2020,July,6,188,Agripina Bay,Agripina Bay,57.1049,-156.4585,49,78,NA,78,110
KDSP-985,2020,July,6,188,Agripina Bay,Agripina Bay,57.1049,-156.4585,56,95,NA,95,93
KDSP-986,2020,July,6,188,Agripina Bay,Agripina Bay,57.1049,-156.4585,52,100,NA,100,88
