year,day,month,doc,hdate,ID,bay,region,latitude,longitude,TL_mm,radius,age
2018,15,Aug,227,117,KDSP-101,Agripina Bay,Agripina Bay,57.1093,-156.4602,60,435.7,110
2018,15,Aug,227,127,KDSP-104,Agripina Bay,Agripina Bay,57.1093,-156.4602,52,413.69,100
2018,15,Aug,227,92,KDSP-116,Agripina Bay,Agripina Bay,57.1048,-156.4586,72,505.58,135
2018,15,Aug,227,88,KDSP-117,Agripina Bay,Agripina Bay,57.1048,-156.4586,75,492.7,139
2018,15,Aug,227,110,KDSP-118,Agripina Bay,Agripina Bay,57.1048,-156.4586,52,477.68,117
2018,15,Aug,227,108,KDSP-168,Agripina Bay,Agripina Bay,57.1048,-156.4586,65,459.7,119
2018,15,Aug,227,100,KDSP-217,Agripina Bay,Agripina Bay,57.1071,-156.4564,68,514.64,127
2018,15,Aug,227,83,KDSP-219,Agripina Bay,Agripina Bay,57.1071,-156.4564,67,543.74,144
2018,15,Aug,227,78,KDSP-220,Agripina Bay,Agripina Bay,57.1071,-156.4564,64,543.57,149
2018,15,Aug,227,106,KDSP-228,Agripina Bay,Agripina Bay,57.1071,-156.4564,60,423.19,121
2018,16,July,197,101,KDSP-446,Agripina Bay,Agripina Bay,57.1071,-156.4565,50,327.85,96
2018,16,July,197,39,KDSP-448,Agripina Bay,Agripina Bay,57.1047,-156.4584,72,543.34,158
2018,16,July,197,78,KDSP-450,Agripina Bay,Agripina Bay,57.1047,-156.4584,56,389.09,119
2018,16,July,197,101,KDSP-451,Agripina Bay,Agripina Bay,57.1047,-156.4584,52,361.36,96
2018,16,July,197,116,KDSP-453,Agripina Bay,Agripina Bay,57.1047,-156.4584,50,301,81
2018,16,July,197,74,KDSP-459,Agripina Bay,Agripina Bay,57.1094,-156.4599,77,454.85,123
2018,16,July,197,130,KDSP-460,Agripina Bay,Agripina Bay,57.1094,-156.4599,35,242.79,67
2018,16,July,197,102,KDSP-462,Agripina Bay,Agripina Bay,57.1094,-156.4599,43,309.91,95
2018,16,July,197,82,KDSP-465,Agripina Bay,Agripina Bay,57.1094,-156.4599,68,437.37,115
2019,7,July,188,121,KDSP-344.2,Agripina Bay,Agripina Bay,57.1046,-156.4716,41,255.53,67
2019,7,July,188,113,KDSP-360.2,Agripina Bay,Agripina Bay,57.105,-156.4581,46,292.38,75
2019,7,July,188,107,KDSP-362.2,Agripina Bay,Agripina Bay,57.105,-156.4581,43,309.51,81
2019,7,July,188,106,KDSP-364.2,Agripina Bay,Agripina Bay,57.105,-156.4581,48,316.77,82
2019,7,July,188,111,KDSP-369.2,Agripina Bay,Agripina Bay,57.105,-156.4581,47,304.81,77
2019,7,July,188,93,KDSP-371.2,Agripina Bay,Agripina Bay,57.105,-156.4581,55,389.41,95
2019,7,July,188,118,KDSP-374.2,Agripina Bay,Agripina Bay,57.105,-156.4581,41,267.23,70
2019,7,July,188,121,KDSP-379.2,Agripina Bay,Agripina Bay,57.1071,-156.4564,41,265.73,67
2019,7,July,188,123,KDSP-381.2,Agripina Bay,Agripina Bay,57.1071,-156.4564,40,234.08,65
2019,7,July,188,85,KDSP-631,Agripina Bay,Agripina Bay,57.1046,-156.4716,60,401.05,103
2019,7,July,188,77,KDSP-633,Agripina Bay,Agripina Bay,57.1041,-156.4766,68,494.6,111
2019,7,July,188,101,KDSP-634,Agripina Bay,Agripina Bay,57.105,-156.4581,55,361.91,87
2019,7,July,188,99,KDSP-640,Agripina Bay,Agripina Bay,57.105,-156.4581,52,363.71,89
2019,7,July,188,106,KDSP-641,Agripina Bay,Agripina Bay,57.105,-156.4581,50,344.9,82
2019,7,July,188,95,KDSP-642,Agripina Bay,Agripina Bay,57.1041,-156.4766,56,386.97,93
2019,7,July,188,105,KDSP-644,Agripina Bay,Agripina Bay,57.1071,-156.4564,43,324.79,83
2019,7,July,188,115,KDSP-646,Agripina Bay,Agripina Bay,57.1046,-156.4716,43,288.98,73
2019,7,July,188,88,KDSP-647,Agripina Bay,Agripina Bay,57.105,-156.4581,58,411.51,100
2019,7,July,188,97,KDSP-649,Agripina Bay,Agripina Bay,57.105,-156.4581,52,342.6,91
2019,7,July,188,99,KDSP-650,Agripina Bay,Agripina Bay,57.105,-156.4581,52,356.16,89
2019,7,July,188,107,KDSP-651,Agripina Bay,Agripina Bay,57.105,-156.4581,51,321.49,81
2019,7,July,188,107,KDSP-655,Agripina Bay,Agripina Bay,57.105,-156.4581,53,323.5,81
2020,6,July,188,84,KDSP-962,Agripina Bay,Agripina Bay,57.1092,-156.4602,61,378.56,104
2020,6,July,188,98,KDSP-963,Agripina Bay,Agripina Bay,57.1092,-156.4602,57,350.38,90
2020,6,July,188,97,KDSP-964,Agripina Bay,Agripina Bay,57.1092,-156.4602,62,376.4,91
2020,6,July,188,80,KDSP-965,Agripina Bay,Agripina Bay,57.1092,-156.4602,52,418.65,108
2020,6,July,188,92,KDSP-966,Agripina Bay,Agripina Bay,57.1092,-156.4602,53,310.95,96
2020,6,July,188,87,KDSP-967,Agripina Bay,Agripina Bay,57.1092,-156.4602,55,374.51,101
2020,6,July,188,90,KDSP-968,Agripina Bay,Agripina Bay,57.1092,-156.4602,55,367.03,98
2020,6,July,188,84,KDSP-969,Agripina Bay,Agripina Bay,57.1092,-156.4602,54,403.46,104
2020,6,July,188,91,KDSP-970,Agripina Bay,Agripina Bay,57.1092,-156.4602,55,373.59,97
2020,6,July,188,72,KDSP-972,Agripina Bay,Agripina Bay,57.1092,-156.4602,61,429.77,116
2020,6,July,188,116,KDSP-974,Agripina Bay,Agripina Bay,57.1092,-156.4602,38,261.06,72
2020,6,July,188,85,KDSP-975,Agripina Bay,Agripina Bay,57.1092,-156.4602,57,396.25,103
2020,6,July,188,83,KDSP-976,Agripina Bay,Agripina Bay,57.1092,-156.4602,57,411.12,105
2020,6,July,188,95,KDSP-977,Agripina Bay,Agripina Bay,57.1092,-156.4602,46,349.47,93
